"filename", "language", "Markdown", "pip requirements", "Python", "JSON", "Log", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\manual.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 0, 0, 32, 75
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\BMI Calculator_DefaultOrganization_20230918110521.log", "Log", 0, 0, 0, 0, 2104, 0, 0, 0, 0, 639, 2743
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\bmi_calculator.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\main.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 36
"c:\GitHub\InteliChatDev\WareHouse\BMI Calculator_DefaultOrganization_20230918110521\manual.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 25, 55
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\BackgroundRemoval_THUNLP_20231015220703.log", "Log", 0, 0, 0, 0, 3473, 0, 0, 0, 0, 870, 4343
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\PhaseConfig.json", "JSON", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 277
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\background_removal.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\main.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 45
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\manual.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 26, 59
"c:\GitHub\InteliChatDev\WareHouse\BackgroundRemoval_THUNLP_20231015220703\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\BookBreeze_THUNLP_20230825072339.log", "Log", 0, 0, 0, 0, 11148, 0, 0, 0, 0, 2943, 14091
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\ebook_reader.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 80
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\main.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 2, 0, 11
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\manual.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 25, 66
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\readme.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\GitHub\InteliChatDev\WareHouse\BookBreeze_THUNLP_20230825072339\requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\GitHub\InteliChatDev\WareHouse\Calculator_THUNLP_20230628184918\20230628184918.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 7
"c:\GitHub\InteliChatDev\WareHouse\Calculator_THUNLP_20230628184918\calculator.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"c:\GitHub\InteliChatDev\WareHouse\Calculator_THUNLP_20230628184918\main.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\CurrencyWiz_THUNLP_20230825101851.log", "Log", 0, 0, 0, 0, 6235, 0, 0, 0, 0, 2138, 8373
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\main.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"c:\GitHub\InteliChatDev\WareHouse\CurrencyWiz_THUNLP_20230825101851\manual.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\DesignDream_THUNLP_20230825072340.log", "Log", 0, 0, 0, 0, 13845, 0, 0, 0, 0, 3237, 17082
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\main.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 15, 0, 82
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\manual.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 0, 0, 49, 103
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\DesignDream_THUNLP_20230825072340\room.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 15, 0, 85
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\DiceRollingSimulator_THUNLP_20230825072338.log", "Log", 0, 0, 0, 0, 5581, 0, 0, 0, 0, 2425, 8006
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\dice.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\main.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\manual.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 15, 61
"c:\GitHub\InteliChatDev\WareHouse\DiceRollingSimulator_THUNLP_20230825072338\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\DigitalClock_THUNLP_20230825093556.log", "Log", 0, 0, 0, 0, 2049, 0, 0, 0, 0, 1027, 3076
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\main.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 9, 0, 30
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\manual.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55
"c:\GitHub\InteliChatDev\WareHouse\DigitalClock_THUNLP_20230825093556\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\ExpenseEase_THUNLP_20230825093604 2.log", "Log", 0, 0, 0, 0, 2593, 0, 0, 0, 0, 1139, 3732
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\ExpenseEase_THUNLP_20230825093604.log", "Log", 0, 0, 0, 0, 2593, 0, 0, 0, 0, 1139, 3732
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\main.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 1, 0, 40
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\manual.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 30, 71
"c:\GitHub\InteliChatDev\WareHouse\ExpenseEase_THUNLP_20230825093604\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\Fish Tycoon_THUNLP_20230825093543.log", "Log", 0, 0, 0, 0, 2703, 0, 0, 0, 0, 1069, 3772
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\aquarium.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\main.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\manual.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 27, 59
"c:\GitHub\InteliChatDev\WareHouse\Fish_Tycoon_THUNLP_20230825093543\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\20230726121145.log", "Log", 0, 0, 0, 0, 2213, 0, 0, 0, 0, 641, 2854
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\PhaseConfig.json", "JSON", 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 304
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\main.py", "Python", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 83
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\manual.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 29, 65
"c:\GitHub\InteliChatDev\WareHouse\FlappyBird_THUNLP_20230726121145\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_DefaultOrganization_20231006033707\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_DefaultOrganization_20231006033707\Gomoku_DefaultOrganization_20231006033707.log", "Log", 0, 0, 0, 0, 66, 0, 0, 0, 0, 33, 99
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_DefaultOrganization_20231006033707\PhaseConfig.json", "JSON", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 277
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_DefaultOrganization_20231006033707\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\ChatChainConfig.json", "JSON", 0, 0, 0, 114, 0, 0, 0, 0, 0, 1, 115
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\Gomoku_HumanAgentInteraction_20230920135038.log", "Log", 0, 0, 0, 0, 3823, 0, 0, 0, 0, 857, 4680
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\game.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\main.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 63
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\manual.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 14, 45
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_HumanAgentInteraction_20230920135038\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\20230625201030.log", "Log", 0, 0, 0, 0, 1173, 0, 0, 0, 0, 474, 1647
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\game.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 10, 0, 86
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\gui.py", "Python", 0, 0, 53, 0, 0, 0, 0, 0, 4, 0, 57
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\main.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 14
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\manual.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 28, 61
"c:\GitHub\InteliChatDev\WareHouse\Gomoku_THUNLP_20230625201030\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\GreedySnakeGame_THUNLP_20231008212648.log", "Log", 0, 0, 0, 0, 3943, 0, 0, 0, 0, 811, 4754
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\PhaseConfig.json", "JSON", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 277
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\main.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 18, 0, 98
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\manual.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 24, 66
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\menu.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 11, 0, 39
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\GreedySnakeGame_THUNLP_20231008212648\settings.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 8
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\20230824142740.log", "Log", 0, 0, 0, 0, 10686, 0, 0, 0, 0, 3233, 13919
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\main.py", "Python", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 141
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\manual.md", "Markdown", 86, 0, 0, 0, 0, 0, 0, 0, 0, 69, 155
"c:\GitHub\InteliChatDev\WareHouse\ImgEditor_THUNLP_20230824142740\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\Matchy Match_THUNLP_20230825101854.log", "Log", 0, 0, 0, 0, 9033, 0, 0, 0, 0, 2595, 11628
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\card.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 2, 0, 19
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\game.py", "Python", 0, 0, 62, 0, 0, 0, 0, 0, 8, 0, 70
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\main.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\manual.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 25, 55
"c:\GitHub\InteliChatDev\WareHouse\Matchy_Match_THUNLP_20230825101854\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\MazeGenerator_THUNLP_20230825093601.log", "Log", 0, 0, 0, 0, 3801, 0, 0, 0, 0, 1087, 4888
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\main.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 6, 0, 51
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\manual.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 23, 51
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\maze.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 61
"c:\GitHub\InteliChatDev\WareHouse\MazeGenerator_THUNLP_20230825093601\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\Maze_THUNLP_20231006154305\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
